Id,MSSubClass,LotArea,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageCars,GarageArea,GarageQual,GarageCond,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,YrSold,SalePrice
747,60,8795,1Fam,2Story,7,5,2000,2000,Gd,TA,PConc,Gd,TA,952,Ex,980,1276,2256,2,1,4,Gd,8,Typ,1,TA,2,554,TA,TA,224,54,0,0,0,2009,236000
748,70,11700,1Fam,2Story,7,7,1880,2003,Gd,TA,Stone,TA,Fa,1240,TA,1320,1320,2640,1,1,4,Gd,8,Typ,1,Gd,4,864,TA,TA,181,0,386,0,0,2009,265979
749,20,10593,1Fam,1Story,7,5,1996,1996,Gd,TA,PConc,Gd,TA,1720,Ex,1720,0,1720,2,0,3,Gd,7,Typ,1,TA,2,527,TA,TA,240,56,154,0,0,2010,260400
750,50,8405,1Fam,1.5Fin,4,3,1945,1950,TA,TA,Slab,NA,NA,0,TA,1088,441,1529,2,0,4,TA,9,Mod,0,NA,1,240,TA,TA,92,0,185,0,0,2009,98000
751,50,8800,1Fam,1.5Fin,4,7,1910,2004,TA,TA,BrkTil,TA,Fa,576,Gd,792,348,1140,1,0,3,TA,7,Min2,0,NA,0,0,NA,NA,0,160,0,0,0,2010,96500
752,60,7750,1Fam,2Story,7,5,2003,2003,Gd,TA,PConc,Gd,TA,660,Ex,660,660,1320,2,1,3,Gd,6,Typ,0,NA,2,400,TA,TA,0,48,0,0,0,2007,162000
753,20,9236,1Fam,1Story,6,5,1997,1997,TA,Gd,PConc,Gd,TA,1479,Ex,1494,0,1494,2,0,3,Gd,6,Typ,0,NA,2,576,TA,TA,168,27,0,0,0,2006,217000
754,60,10240,1Fam,2Story,8,5,2005,2005,Gd,TA,PConc,Gd,TA,1030,Gd,1038,1060,2098,2,1,3,Ex,8,Typ,1,Gd,3,878,TA,TA,192,52,0,0,0,2006,275500
755,20,7930,1Fam,1Story,6,8,1969,2005,TA,TA,CBlock,TA,TA,1026,Gd,1026,0,1026,1,0,3,Gd,5,Typ,0,NA,2,440,TA,TA,171,48,0,0,0,2009,156000
756,160,3230,TwnhsE,2Story,6,5,1999,1999,TA,TA,PConc,Gd,TA,729,Gd,742,729,1471,2,1,3,TA,6,Typ,0,NA,2,440,TA,TA,0,24,0,0,0,2009,172500
757,60,10769,1Fam,2Story,8,5,2007,2007,Gd,TA,PConc,Gd,TA,866,Ex,866,902,1768,2,1,3,Gd,7,Typ,0,NA,2,578,TA,TA,144,105,0,0,0,2009,212000
758,60,11616,1Fam,2Story,6,5,1978,1978,TA,TA,CBlock,TA,TA,672,TA,672,714,1386,2,1,3,TA,6,Typ,1,TA,2,440,TA,TA,335,0,0,0,0,2010,158900
759,160,2280,Twnhs,2Story,7,5,1999,1999,TA,TA,PConc,Gd,TA,744,Gd,757,744,1501,2,1,3,TA,6,Typ,0,NA,2,440,TA,TA,0,0,0,0,0,2008,179400
760,60,12257,1Fam,2Story,8,5,1995,1995,Gd,TA,PConc,Gd,TA,1318,Ex,1328,1203,2531,2,1,4,Gd,9,Typ,1,TA,3,752,TA,TA,222,98,0,0,0,2007,290000
761,20,9100,1Fam,1Story,6,6,1959,1959,TA,TA,CBlock,TA,TA,864,Ex,864,0,864,1,0,2,TA,5,Typ,0,NA,1,300,Ex,Ex,0,0,0,0,0,2009,127500
762,30,6911,1Fam,1Story,5,5,1924,1950,TA,TA,PConc,TA,TA,1145,TA,1301,0,1301,1,0,2,Fa,5,Min1,0,NA,2,440,TA,TA,0,0,0,0,0,2009,100000
763,60,8640,1Fam,2Story,7,5,2009,2009,TA,TA,PConc,Gd,TA,756,Ex,764,783,1547,2,1,3,Gd,7,Typ,0,NA,2,614,TA,TA,169,45,0,0,0,2010,215200
764,60,9430,1Fam,2Story,8,5,1999,1999,Gd,TA,PConc,Gd,TA,1252,Ex,1268,1097,2365,2,1,3,Gd,8,Typ,1,Gd,3,856,TA,TA,0,128,0,0,180,2009,337000
765,120,9549,TwnhsE,1Story,8,5,1995,1996,Gd,Gd,PConc,Gd,Gd,1494,Ex,1494,0,1494,1,1,2,Ex,6,Typ,1,Gd,2,481,TA,TA,0,30,0,0,216,2006,270000
766,20,14587,1Fam,1Story,9,5,2008,2008,Gd,TA,PConc,Gd,TA,1498,Ex,1506,0,1506,2,0,2,Ex,6,Typ,1,Gd,2,592,TA,TA,0,174,0,0,0,2008,264132
767,60,10421,1Fam,2Story,7,5,1988,1988,TA,TA,CBlock,Gd,TA,980,TA,980,734,1714,2,1,3,TA,7,Typ,1,TA,2,496,TA,TA,228,66,156,0,0,2010,196500
768,50,12508,1Fam,1.5Fin,6,7,1940,1985,TA,TA,CBlock,Gd,TA,983,Ex,983,767,1750,2,0,4,TA,7,Mod,0,NA,1,423,TA,TA,245,0,156,0,0,2008,160000
769,20,9100,1Fam,1Story,7,5,2004,2005,Gd,TA,PConc,Gd,TA,1860,Ex,1836,0,1836,2,0,3,Gd,8,Typ,1,Gd,2,484,TA,TA,120,33,0,0,0,2006,216837
770,60,53504,1Fam,2Story,8,5,2003,2003,Ex,TA,PConc,Gd,TA,1650,Ex,1690,1589,3279,3,1,4,Ex,12,Mod,1,Gd,3,841,TA,TA,503,36,0,0,210,2010,538000
771,85,7252,1Fam,SFoyer,5,5,1982,1982,TA,TA,CBlock,Gd,TA,858,TA,858,0,858,1,0,2,TA,5,Typ,0,NA,2,576,TA,TA,120,0,0,0,0,2009,134900
772,20,8877,1Fam,1Story,4,5,1951,1951,TA,TA,CBlock,Fa,Fa,836,TA,1220,0,1220,1,0,2,TA,6,Typ,0,NA,2,396,TA,TA,0,0,0,0,0,2006,102000
773,80,7819,1Fam,SLvl,6,5,1976,1976,TA,TA,CBlock,TA,TA,1029,TA,1117,0,1117,1,0,3,TA,6,Typ,1,TA,2,672,TA,TA,144,0,0,0,0,2010,107000
774,20,10150,1Fam,1Story,5,5,1958,1958,TA,TA,CBlock,TA,TA,912,Ex,912,0,912,1,0,2,TA,5,Typ,0,NA,1,275,TA,TA,0,0,0,0,0,2007,114500
775,20,14226,1Fam,1Story,8,5,2006,2006,Gd,TA,PConc,Gd,TA,1935,Gd,1973,0,1973,2,0,3,Gd,9,Typ,1,Gd,3,895,TA,TA,315,45,0,0,0,2007,395000
776,120,4500,TwnhsE,1Story,6,5,1998,1998,TA,TA,PConc,Ex,TA,1204,Ex,1204,0,1204,2,0,2,TA,5,Typ,0,NA,2,412,TA,TA,0,247,0,0,0,2009,162000
777,20,11210,1Fam,1Story,7,5,2005,2006,Gd,TA,PConc,Gd,TA,1614,Ex,1614,0,1614,2,0,3,Gd,7,Typ,0,NA,3,865,TA,TA,144,59,0,0,0,2006,221500
778,20,13350,1Fam,1Story,5,5,1974,1974,TA,TA,CBlock,TA,TA,864,TA,894,0,894,1,0,3,TA,5,Typ,1,Fa,2,440,TA,TA,241,0,0,0,0,2006,142500
779,90,8400,Duplex,1Story,5,5,1977,1977,TA,TA,Slab,NA,NA,0,TA,2020,0,2020,2,0,4,TA,10,Typ,2,TA,2,630,TA,TA,0,0,0,0,0,2007,144000
780,90,10530,Duplex,SFoyer,6,5,1977,1977,TA,TA,CBlock,Gd,TA,975,TA,1004,0,1004,1,0,2,TA,4,Typ,0,NA,2,504,TA,TA,0,0,0,0,0,2006,135000
781,20,7875,1Fam,1Story,7,5,1995,1996,TA,TA,PConc,Gd,Gd,1237,Gd,1253,0,1253,2,0,3,TA,6,Typ,1,TA,2,402,TA,TA,220,21,0,0,0,2007,176000
782,60,7153,1Fam,2Story,6,5,1992,1992,Gd,Gd,PConc,Gd,TA,761,Ex,810,793,1603,2,1,3,Gd,7,Typ,0,NA,2,484,TA,TA,0,124,0,0,0,2006,175900
783,20,16285,1Fam,1Story,7,5,2001,2002,Gd,TA,PConc,Gd,TA,1413,Ex,1430,0,1430,2,0,3,Gd,6,Typ,0,NA,2,605,TA,TA,0,33,0,0,0,2009,187100
784,85,9101,1Fam,SFoyer,5,6,1978,1978,TA,Gd,PConc,Gd,TA,1097,Ex,1110,0,1110,1,0,1,Gd,4,Typ,1,TA,2,602,TA,TA,303,30,0,0,0,2009,165500
785,75,6300,1Fam,2.5Unf,6,6,1914,2001,TA,TA,CBlock,TA,TA,742,Ex,742,742,1484,2,0,3,TA,9,Typ,1,Gd,0,0,NA,NA,0,291,134,0,0,2008,128000
786,20,9790,1Fam,1Story,6,5,1967,1967,TA,TA,CBlock,TA,TA,1372,TA,1342,0,1342,2,0,3,TA,7,Typ,1,Gd,2,457,TA,TA,0,0,0,0,197,2009,161500
787,50,10800,1Fam,1.5Fin,5,6,1915,1950,TA,Gd,PConc,Fa,TA,686,TA,966,686,1652,2,0,4,TA,7,Typ,0,NA,1,416,TA,TA,0,0,196,0,0,2010,139000
788,60,10142,1Fam,2Story,7,5,2004,2004,Gd,TA,PConc,Gd,TA,956,Ex,956,1128,2084,2,1,4,Gd,8,Typ,0,NA,2,618,TA,TA,0,45,0,0,0,2010,233000
789,20,6000,1Fam,1Story,4,7,1954,2000,TA,TA,CBlock,TA,TA,901,Ex,901,0,901,1,0,2,TA,4,Typ,0,NA,1,281,Fa,TA,0,0,0,0,0,2008,107900
790,60,12205,1Fam,2Story,6,8,1966,2007,TA,TA,CBlock,TA,Fa,832,Gd,976,1111,2087,2,1,5,Gd,9,Typ,0,NA,2,444,TA,TA,133,168,0,0,0,2007,187500
791,120,3182,TwnhsE,1Story,7,5,2005,2006,Gd,TA,PConc,Gd,TA,1145,Ex,1145,0,1145,2,0,2,Gd,5,Typ,1,Gd,2,397,TA,TA,100,16,0,0,0,2009,160200
792,80,11333,1Fam,SLvl,6,5,1976,1976,TA,TA,PConc,Gd,TA,1029,TA,1062,0,1062,1,0,3,TA,5,Typ,2,TA,2,539,TA,TA,120,0,0,0,0,2007,146800
793,60,9920,1Fam,2Story,7,5,1996,1997,Gd,TA,PConc,Gd,TA,1117,Ex,1127,886,2013,2,1,3,TA,8,Typ,1,TA,2,455,TA,TA,180,130,0,0,0,2007,269790
794,20,9158,1Fam,1Story,8,5,2007,2007,Gd,TA,PConc,Gd,TA,1496,Ex,1496,0,1496,2,0,3,Gd,7,Typ,0,NA,2,474,TA,TA,168,130,0,0,0,2007,225000
795,60,10832,1Fam,2Story,7,5,1994,1996,Gd,TA,PConc,Gd,TA,712,Ex,1086,809,1895,2,1,3,Gd,7,Typ,1,TA,2,409,TA,TA,143,46,0,0,0,2008,194500
796,60,8400,1Fam,2Story,6,6,1980,1981,TA,TA,CBlock,Gd,TA,650,TA,888,676,1564,2,1,3,TA,7,Typ,1,TA,2,476,TA,TA,0,50,0,0,204,2010,171000
797,20,8197,1Fam,1Story,6,5,1977,1977,TA,TA,CBlock,TA,TA,660,Ex,1285,0,1285,1,1,3,TA,7,Typ,1,TA,2,528,TA,TA,138,0,0,0,0,2007,143500
798,20,7677,1Fam,1Story,5,5,1953,1953,TA,TA,CBlock,TA,TA,773,Gd,773,0,773,1,0,2,TA,4,Typ,0,NA,1,240,TA,TA,0,0,0,0,0,2008,110000
799,60,13518,1Fam,2Story,9,5,2008,2009,Ex,TA,PConc,Ex,TA,1926,Ex,1966,1174,3140,3,1,4,Ex,11,Typ,2,Gd,3,820,TA,TA,144,78,0,0,0,2009,485000
800,50,7200,1Fam,1.5Fin,5,7,1937,1950,TA,TA,BrkTil,Gd,TA,731,Ex,981,787,1768,1,1,3,Gd,7,Typ,2,TA,1,240,TA,TA,0,0,264,0,0,2007,175000
801,60,12798,1Fam,2Story,6,5,1997,1997,TA,TA,PConc,Gd,TA,616,Gd,616,1072,1688,2,1,4,Gd,8,Typ,0,NA,2,603,TA,TA,403,114,185,0,0,2008,200000
802,30,4800,1Fam,1Story,4,7,1916,1990,TA,TA,CBlock,TA,TA,1196,Ex,1196,0,1196,1,0,2,TA,5,Typ,0,NA,2,440,TA,TA,0,0,0,0,0,2007,109900
803,60,8199,1Fam,2Story,7,5,2005,2005,Gd,TA,PConc,Gd,TA,728,Ex,728,728,1456,2,1,3,Gd,7,Typ,1,Gd,2,410,TA,TA,36,18,0,0,0,2008,189000
804,60,13891,1Fam,2Story,9,5,2008,2009,Ex,TA,PConc,Ex,TA,1734,Ex,1734,1088,2822,3,1,4,Ex,12,Typ,1,Gd,3,1020,TA,TA,52,170,0,0,192,2009,582933
805,20,9000,1Fam,1Story,5,5,1954,1954,TA,TA,CBlock,TA,TA,936,TA,1128,0,1128,1,0,2,TA,5,Min1,0,NA,1,286,TA,TA,0,0,0,0,0,2006,118000
806,20,12274,1Fam,1Story,7,5,2008,2008,Gd,TA,PConc,Gd,TA,1417,Ex,1428,0,1428,2,0,3,Ex,6,Typ,0,NA,2,554,TA,TA,0,60,0,0,0,2008,227680
807,80,9750,1Fam,SLvl,5,5,1967,1967,TA,TA,PConc,TA,TA,980,Gd,980,0,980,2,0,3,TA,6,Typ,0,NA,1,384,TA,TA,68,0,0,0,0,2006,135500
808,70,21384,1Fam,2Story,5,6,1923,2004,TA,TA,CBlock,TA,TA,1324,Ex,1072,504,1576,1,1,3,Gd,6,Typ,1,TA,2,528,TA,TA,0,312,0,0,0,2009,223500
809,80,13400,1Fam,SLvl,5,5,1966,1966,TA,TA,CBlock,TA,TA,1024,TA,1086,0,1086,1,0,3,TA,6,Typ,1,Gd,2,484,TA,TA,0,0,0,0,0,2006,159950
810,75,8100,1Fam,2.5Unf,5,5,1898,1965,TA,TA,PConc,TA,TA,849,TA,1075,1063,2138,2,0,2,TA,11,Typ,0,NA,2,360,Fa,Po,40,156,0,0,0,2009,106000
811,20,10140,1Fam,1Story,6,6,1974,1999,TA,TA,CBlock,TA,TA,1040,Fa,1309,0,1309,1,1,3,Gd,5,Typ,1,Fa,2,484,TA,TA,265,0,0,0,0,2006,181000
812,120,4438,TwnhsE,1Story,6,5,2004,2004,Gd,TA,PConc,Gd,TA,848,Ex,848,0,848,1,0,1,Gd,4,Typ,1,Gd,2,420,TA,TA,140,0,0,0,0,2008,144500
813,20,8712,1Fam,1Story,5,5,1952,1952,Fa,TA,CBlock,TA,TA,540,TA,1044,0,1044,1,0,2,Fa,4,Typ,0,NA,2,504,TA,TA,0,0,0,0,0,2010,55993
814,20,9750,1Fam,1Story,6,6,1958,1958,TA,TA,CBlock,TA,TA,1442,Gd,1442,0,1442,1,1,4,TA,7,Typ,0,NA,1,301,TA,TA,0,0,275,0,0,2007,157900
815,50,8248,1Fam,1.5Fin,5,7,1918,1950,TA,TA,BrkTil,TA,TA,686,Gd,686,564,1250,1,1,3,Fa,7,Typ,0,NA,1,280,TA,TA,207,0,96,0,0,2006,116000
816,20,12137,1Fam,1Story,7,5,1998,1998,TA,TA,PConc,Gd,TA,1649,Ex,1661,0,1661,2,0,3,Gd,6,Typ,0,NA,2,598,TA,TA,0,34,0,0,0,2010,224900
817,20,11425,1Fam,1Story,5,6,1954,1954,TA,TA,CBlock,TA,TA,1008,Gd,1008,0,1008,1,0,2,TA,4,Typ,1,Gd,1,275,TA,TA,0,0,120,0,0,2006,137000
818,20,13265,1Fam,1Story,8,5,2002,2002,Gd,TA,PConc,Gd,TA,1568,Ex,1689,0,1689,2,0,3,Gd,7,Typ,2,Gd,3,857,TA,TA,150,59,0,0,0,2008,271000
819,80,8816,1Fam,SLvl,6,7,1971,1971,TA,TA,CBlock,TA,TA,1010,Gd,1052,0,1052,1,0,3,TA,6,Typ,0,NA,2,440,TA,TA,0,0,0,0,0,2010,155000
820,120,6371,TwnhsE,1Story,7,5,2009,2010,Gd,TA,PConc,Gd,TA,1358,Ex,1358,0,1358,2,0,2,Gd,6,Typ,1,Gd,2,484,TA,TA,192,35,0,0,0,2010,224000
821,60,7226,1Fam,2Story,7,5,2003,2003,Gd,TA,PConc,Gd,TA,798,Ex,798,842,1640,2,1,3,Gd,6,Typ,0,NA,2,595,TA,TA,0,45,0,0,0,2008,183000
822,20,6000,2fmCon,1Story,4,4,1953,1953,Fa,TA,CBlock,Fa,TA,936,TA,936,0,936,1,0,2,TA,4,Min2,0,NA,2,576,TA,TA,0,32,112,0,0,2009,93000
823,60,12394,1Fam,2Story,7,5,2003,2003,Gd,TA,PConc,Gd,TA,847,Ex,847,886,1733,2,1,3,Gd,7,Typ,1,Gd,2,433,TA,TA,100,48,0,0,0,2007,225000
824,50,9900,1Fam,1.5Fin,6,7,1940,1950,TA,TA,BrkTil,TA,TA,778,TA,944,545,1489,2,0,3,TA,7,Typ,1,Gd,1,240,TA,TA,335,0,0,0,0,2009,139500
825,20,11216,1Fam,1Story,8,5,2006,2006,Gd,TA,PConc,Gd,Gd,1489,Ex,1489,0,1489,2,0,3,Gd,7,Typ,1,Gd,2,776,TA,TA,0,140,0,0,0,2006,232600
826,20,14803,1Fam,1Story,10,5,2007,2008,Ex,TA,PConc,Ex,TA,2078,Ex,2084,0,2084,2,0,2,Ex,7,Typ,1,Gd,3,1220,TA,TA,188,45,0,0,0,2008,385000
827,45,6130,1Fam,1.5Unf,5,6,1924,1950,TA,TA,BrkTil,TA,TA,784,Gd,784,0,784,1,0,2,Gd,5,Typ,0,NA,0,0,NA,NA,0,0,116,0,0,2008,109500
828,20,8529,1Fam,1Story,7,5,2001,2001,Gd,TA,PConc,Gd,TA,1454,Ex,1434,0,1434,2,0,3,Gd,6,Typ,1,TA,2,527,TA,TA,290,39,0,0,0,2009,189000
829,60,28698,1Fam,2Story,5,5,1967,1967,TA,TA,PConc,TA,Gd,1013,TA,1160,966,2126,2,1,3,TA,7,Min2,0,NA,2,538,TA,TA,486,0,0,0,225,2009,185000
830,160,2544,Twnhs,2Story,7,5,2005,2005,Gd,TA,PConc,Gd,TA,600,Ex,520,623,1223,2,1,2,Gd,4,Typ,0,NA,2,480,TA,TA,0,166,0,0,0,2006,147400
831,20,11900,1Fam,1Story,6,5,1957,1957,TA,TA,CBlock,TA,TA,1392,TA,1392,0,1392,1,1,3,TA,6,Typ,2,Gd,2,458,TA,TA,0,0,0,0,192,2008,166000
832,160,3180,TwnhsE,2Story,7,5,2005,2005,TA,TA,PConc,Gd,TA,600,Ex,520,600,1200,2,1,2,Gd,4,Typ,0,NA,2,480,TA,TA,0,166,0,0,0,2006,151000
833,60,9548,1Fam,2Story,7,6,2003,2003,Gd,TA,PConc,Gd,TA,941,Ex,941,888,1829,2,1,3,Gd,7,Typ,1,TA,2,613,TA,TA,192,39,0,0,0,2010,237000
834,20,10004,1Fam,1Story,6,6,1964,1964,TA,TA,CBlock,TA,TA,1516,TA,1516,0,1516,1,1,3,TA,6,Typ,0,NA,2,472,TA,TA,0,0,0,0,152,2009,167000
835,20,7875,1Fam,1Story,5,6,1961,1961,TA,TA,CBlock,TA,TA,1144,Gd,1144,0,1144,1,0,3,TA,6,Typ,0,NA,2,456,TA,TA,0,0,0,0,0,2008,139950
836,20,9600,1Fam,1Story,4,7,1950,1995,TA,TA,CBlock,Gd,TA,1067,TA,1067,0,1067,2,0,2,Gd,4,Min2,0,NA,2,436,TA,TA,290,0,0,0,0,2010,128000
837,30,8100,1Fam,1Story,5,6,1948,1973,TA,TA,BrkTil,TA,TA,1559,Gd,1559,0,1559,1,0,2,TA,5,Min2,0,NA,2,812,TA,TA,0,116,230,0,0,2007,153500
838,160,1680,Twnhs,2Story,6,5,1973,1973,TA,TA,CBlock,TA,TA,483,TA,483,504,987,1,1,2,TA,5,Typ,0,NA,1,264,TA,TA,0,0,0,0,0,2008,100000
839,20,9525,1Fam,1Story,5,6,1995,2006,TA,TA,PConc,Gd,TA,1099,Ex,1099,0,1099,1,1,3,Gd,6,Typ,0,NA,1,352,TA,TA,278,0,0,0,0,2008,144000
840,50,11767,1Fam,1.5Fin,5,6,1946,1995,TA,TA,CBlock,TA,TA,768,Ex,768,432,1200,1,0,3,TA,6,Typ,0,NA,1,240,TA,TA,0,0,0,0,0,2008,130500
841,70,12155,1Fam,2Story,6,8,1925,1950,TA,TA,BrkTil,TA,TA,672,TA,810,672,1482,2,0,4,Fa,7,Typ,0,NA,1,400,TA,TA,0,0,254,0,0,2008,140000
842,70,10440,1Fam,2Story,5,8,1904,2002,TA,TA,PConc,TA,TA,650,Gd,958,581,1539,2,0,3,Gd,8,Typ,1,Po,2,686,Gd,TA,70,78,68,0,0,2008,157500
843,80,9020,1Fam,SLvl,6,7,1966,1966,TA,TA,CBlock,TA,TA,1127,TA,1165,0,1165,1,1,3,TA,6,Typ,0,NA,2,490,Gd,Gd,0,129,0,0,0,2008,174900
844,90,8000,Duplex,1Story,5,4,1961,1961,TA,TA,CBlock,TA,TA,1800,Ex,1800,0,1800,2,0,6,TA,10,Typ,0,NA,0,0,NA,NA,0,0,0,0,0,2007,141000
845,50,12665,1Fam,1.5Fin,5,8,1915,1950,TA,TA,BrkTil,TA,TA,876,Gd,876,540,1416,1,1,4,TA,7,Typ,1,Gd,3,720,TA,TA,418,0,194,0,0,2008,153900
846,85,16647,1Fam,SFoyer,5,5,1975,1981,TA,TA,CBlock,Gd,TA,1390,TA,1701,0,1701,2,0,3,TA,6,Min2,2,TA,2,611,TA,TA,0,0,0,0,0,2007,171000
847,60,9317,1Fam,2Story,7,5,1993,1993,Gd,TA,PConc,Gd,TA,740,Ex,1006,769,1775,2,1,3,Gd,7,Typ,1,TA,2,425,TA,TA,234,72,192,0,0,2009,213000
848,20,15523,1Fam,1Story,5,6,1972,1972,TA,TA,CBlock,TA,TA,864,Ex,864,0,864,1,0,3,TA,5,Typ,1,Fa,1,338,TA,TA,0,0,0,0,0,2009,133500
849,50,45600,1Fam,1.5Fin,6,8,1908,1997,TA,TA,BrkTil,TA,TA,907,TA,1307,1051,2358,3,0,5,TA,10,Typ,1,Gd,2,360,Fa,TA,486,40,0,0,175,2008,240000
850,80,9600,1Fam,SLvl,6,7,1976,1994,Gd,Gd,CBlock,TA,TA,528,Ex,1094,761,1855,2,1,3,TA,7,Typ,1,TA,2,512,TA,TA,113,100,0,0,0,2007,187000
851,120,4435,TwnhsE,1Story,6,5,2003,2003,Gd,TA,PConc,Gd,TA,848,Ex,848,0,848,1,0,1,Gd,3,Typ,0,NA,2,420,TA,TA,140,0,0,0,0,2007,131500
852,120,3196,TwnhsE,1Story,8,5,2003,2003,Gd,TA,PConc,Gd,TA,1273,Ex,1456,0,1456,2,0,2,Gd,7,Typ,1,TA,2,400,TA,TA,143,20,0,0,0,2006,215000
853,75,7128,1Fam,2.5Unf,7,5,1941,1950,TA,Gd,CBlock,TA,TA,918,Gd,918,728,1646,2,0,4,TA,7,Typ,2,Gd,1,240,TA,TA,0,0,0,0,126,2007,164000
854,80,12095,1Fam,SLvl,6,6,1964,1964,TA,Gd,CBlock,TA,TA,1127,TA,1445,0,1445,1,1,3,TA,7,Typ,1,Fa,2,645,TA,TA,180,0,0,0,0,2009,158000
855,20,17920,1Fam,1Story,5,4,1955,1974,TA,TA,CBlock,TA,TA,1763,TA,1779,0,1779,1,1,3,TA,6,Typ,1,Gd,2,454,TA,TA,0,418,0,0,312,2006,170000
856,20,6897,1Fam,1Story,5,8,1962,2010,TA,Gd,CBlock,TA,TA,1040,Ex,1040,0,1040,1,1,3,TA,6,Typ,0,NA,1,260,TA,TA,0,104,0,0,0,2010,127000
857,80,10970,1Fam,SLvl,6,6,1978,1978,TA,TA,CBlock,Gd,Gd,940,TA,1026,0,1026,1,0,3,TA,5,Typ,0,NA,2,576,TA,Fa,0,0,34,0,0,2008,147000
858,60,8125,1Fam,2Story,6,5,1994,1995,TA,TA,PConc,Gd,TA,702,Gd,702,779,1481,2,1,3,TA,6,Typ,1,TA,2,343,TA,TA,0,36,0,0,0,2009,174000
859,20,10400,1Fam,1Story,7,5,1976,1976,TA,TA,CBlock,Gd,TA,1090,TA,1370,0,1370,2,0,3,TA,6,Typ,1,TA,2,479,TA,TA,0,0,0,0,0,2009,152000
860,60,11029,1Fam,2Story,6,7,1968,1984,TA,TA,CBlock,TA,TA,1054,TA,1512,1142,2654,2,1,4,Gd,9,Typ,1,Gd,2,619,TA,TA,0,65,0,0,222,2006,250000
861,50,7642,1Fam,1.5Fin,7,8,1918,1998,Gd,TA,BrkTil,TA,TA,912,Gd,912,514,1426,1,1,3,Gd,7,Typ,1,Gd,1,216,TA,TA,0,240,0,0,0,2007,189950
862,190,11625,2fmCon,1Story,5,4,1965,1965,TA,TA,PConc,TA,TA,1039,Ex,1039,0,1039,1,1,3,TA,6,Typ,0,NA,2,504,TA,TA,0,0,0,0,0,2010,131500
863,20,9672,1Fam,1Story,6,5,1984,1985,TA,TA,PConc,Gd,TA,1040,TA,1097,0,1097,2,0,3,TA,6,Typ,0,NA,2,480,TA,TA,0,0,0,0,0,2010,152000
864,20,7931,1Fam,1Story,5,5,1959,1959,TA,TA,CBlock,TA,TA,1148,TA,1148,0,1148,1,0,3,TA,6,Typ,0,NA,1,672,TA,TA,0,0,0,0,0,2009,132500
865,20,8640,1Fam,1Story,7,5,2007,2008,Gd,TA,PConc,Ex,TA,1372,Ex,1372,0,1372,2,0,3,Gd,6,Typ,0,NA,2,529,TA,TA,0,140,0,0,0,2008,250580
866,20,8750,1Fam,1Story,5,6,1970,1970,TA,TA,CBlock,TA,TA,1002,TA,1002,0,1002,1,0,3,TA,5,Typ,0,NA,2,902,TA,TA,0,0,0,0,0,2009,148500
867,20,10656,1Fam,1Story,8,5,2006,2007,Gd,TA,PConc,Gd,TA,1638,Ex,1646,0,1646,2,0,3,Gd,6,Typ,1,Gd,3,870,TA,TA,192,80,0,0,0,2007,248900
868,20,6970,1Fam,1Story,4,5,1961,1961,TA,TA,CBlock,TA,TA,1040,TA,1120,0,1120,1,1,3,Fa,5,Typ,0,NA,2,544,TA,TA,168,0,0,0,0,2007,129000
869,60,14762,1Fam,2Story,5,6,1948,1950,TA,TA,Slab,NA,NA,0,Gd,1547,720,2320,2,0,2,TA,7,Typ,1,TA,2,672,TA,TA,120,144,0,0,0,2006,169000
870,60,9938,1Fam,2Story,7,5,1993,1994,Gd,TA,PConc,Gd,TA,1050,Ex,1062,887,1949,2,1,3,Gd,8,Typ,1,TA,2,574,TA,TA,156,90,0,0,0,2010,236000
871,20,6600,1Fam,1Story,5,5,1962,1962,TA,TA,CBlock,TA,TA,894,Gd,894,0,894,1,0,2,TA,5,Typ,0,NA,1,308,TA,TA,0,0,0,0,0,2009,109500
872,60,8750,1Fam,2Story,6,5,1998,1998,TA,TA,PConc,Gd,TA,804,Ex,804,878,1682,2,1,3,Gd,7,Typ,0,NA,2,523,TA,TA,0,77,0,0,0,2010,200500
873,20,8892,1Fam,1Story,5,7,1953,1996,Gd,TA,Stone,TA,TA,105,Gd,910,0,910,1,0,3,Gd,5,Typ,0,NA,2,414,TA,TA,196,0,150,0,0,2008,116000
874,40,12144,1Fam,1Story,5,7,1949,1950,Gd,TA,CBlock,TA,TA,832,Gd,1036,0,1268,1,0,3,TA,6,Typ,1,Gd,1,288,TA,TA,0,28,0,0,0,2009,133000
875,50,5720,1Fam,1.5Fin,5,6,1941,1950,TA,TA,CBlock,TA,TA,676,Ex,676,455,1131,1,1,3,TA,5,Typ,0,NA,1,200,TA,TA,26,0,0,0,0,2009,66500
876,60,9000,1Fam,2Story,8,5,2007,2007,Gd,TA,PConc,Gd,TA,1184,Ex,1184,1426,2610,2,1,4,Ex,11,Typ,1,Gd,2,550,TA,TA,208,364,0,0,0,2007,303477
